Year,Geography,Subpopulation topic,Subpopulation,Category,Count of enrollees,Denominator count of enrollees,Percentage of enrollees,Data version
2020,National,Age group,Ages 12-18,Received MH or SUD services,"1,759,156","10,404,790",16.9,TAF Release 1
2020,National,Age group,Ages 12-18,Received MH services,"1,728,570","10,404,790",16.6,TAF Release 1
2020,National,Age group,Ages 12-18,Received SUD services,"111,537","10,404,790",1.1,TAF Release 1
2020,National,Age group,Ages 19-39,Received MH or SUD services,"3,640,344","16,345,369",22.3,TAF Release 1
2020,National,Age group,Ages 19-39,Received MH services,"2,775,277","16,345,369",17.0,TAF Release 1
2020,National,Age group,Ages 19-39,Received SUD services,"1,646,389","16,345,369",10.1,TAF Release 1
2020,National,Age group,Ages 40-64,Received MH or SUD services,"2,940,796","10,871,533",27.1,TAF Release 1
2020,National,Age group,Ages 40-64,Received MH services,"2,103,045","10,871,533",19.3,TAF Release 1
2020,National,Age group,Ages 40-64,Received SUD services,"1,559,648","10,871,533",14.3,TAF Release 1
2020,National,Eligibility category,CHIP,Received MH or SUD services,"327,987","2,667,663",12.3,TAF Release 1
2020,National,Eligibility category,CHIP,Received MH services,"321,251","2,667,663",12.0,TAF Release 1
2020,National,Eligibility category,CHIP,Received SUD services,"18,987","2,667,663",0.7,TAF Release 1
2020,National,Eligibility category,Disability,Received MH or SUD services,"1,741,286","4,051,829",43.0,TAF Release 1
2020,National,Eligibility category,Disability,Received MH services,"1,466,485","4,051,829",36.2,TAF Release 1
2020,National,Eligibility category,Disability,Received SUD services,"685,761","4,051,829",16.9,TAF Release 1
2020,National,Eligibility category,Expansion adult,Received MH or SUD services,"3,048,033","14,368,098",21.2,TAF Release 1
2020,National,Eligibility category,Expansion adult,Received MH services,"2,160,714","14,368,098",15.0,TAF Release 1
2020,National,Eligibility category,Expansion adult,Received SUD services,"1,587,258","14,368,098",11.0,TAF Release 1
2020,National,Eligibility category,Medicaid children,Received MH or SUD services,"1,342,253","8,154,864",16.5,TAF Release 1
2020,National,Eligibility category,Medicaid children,Received MH services,"1,301,635","8,154,864",16.0,TAF Release 1
2020,National,Eligibility category,Medicaid children,Received SUD services,"118,519","8,154,864",1.5,TAF Release 1
2020,National,Eligibility category,Non-expansion adult,Received MH or SUD services,"1,678,662","7,430,803",22.6,TAF Release 1
2020,National,Eligibility category,Non-expansion adult,Received MH services,"1,218,185","7,430,803",16.4,TAF Release 1
2020,National,Eligibility category,Non-expansion adult,Received SUD services,"807,661","7,430,803",10.9,TAF Release 1
2020,National,Eligibility category,Pregnancy,Received MH or SUD services,"145,027","649,314",22.3,TAF Release 1
2020,National,Eligibility category,Pregnancy,Received MH services,"89,077","649,314",13.7,TAF Release 1
2020,National,Eligibility category,Pregnancy,Received SUD services,"83,332","649,314",12.8,TAF Release 1
2020,National,Eligibility category,Unknown eligibility,Received MH or SUD services,"57,048","299,121",19.1,TAF Release 1
2020,National,Eligibility category,Unknown eligibility,Received MH services,"49,545","299,121",16.6,TAF Release 1
2020,National,Eligibility category,Unknown eligibility,Received SUD services,"16,056","299,121",5.4,TAF Release 1
2020,National,Primary language,All other languages,Received MH or SUD services,"20,357","200,344",10.2,TAF Release 1
2020,National,Primary language,All other languages,Received MH services,"17,879","200,344",8.9,TAF Release 1
2020,National,Primary language,All other languages,Received SUD services,"3,982","200,344",2.0,TAF Release 1
2020,National,Primary language,English,Received MH or SUD services,"4,283,752","15,912,755",26.9,TAF Release 1
2020,National,Primary language,English,Received MH services,"3,382,485","15,912,755",21.3,TAF Release 1
2020,National,Primary language,English,Received SUD services,"1,744,946","15,912,755",11.0,TAF Release 1
2020,National,Primary language,Spanish,Received MH or SUD services,"153,319","1,439,499",10.7,TAF Release 1
2020,National,Primary language,Spanish,Received MH services,"140,670","1,439,499",9.8,TAF Release 1
2020,National,Primary language,Spanish,Received SUD services,"23,672","1,439,499",1.6,TAF Release 1
2020,National,Race and ethnicity,"American Indian and Alaska Native, non-Hispanic",Received MH or SUD services,"149,971","567,121",26.4,TAF Release 1
2020,National,Race and ethnicity,"American Indian and Alaska Native, non-Hispanic",Received MH services,"104,512","567,121",18.4,TAF Release 1
2020,National,Race and ethnicity,"American Indian and Alaska Native, non-Hispanic",Received SUD services,"81,804","567,121",14.4,TAF Release 1
2020,National,Race and ethnicity,"Asian/Pacific Islander, non-Hispanic",Received MH or SUD services,"178,874","2,179,234",8.2,TAF Release 1
2020,National,Race and ethnicity,"Asian/Pacific Islander, non-Hispanic",Received MH services,"147,374","2,179,234",6.8,TAF Release 1
2020,National,Race and ethnicity,"Asian/Pacific Islander, non-Hispanic",Received SUD services,"49,580","2,179,234",2.3,TAF Release 1
2020,National,Race and ethnicity,"Black, non-Hispanic",Received MH or SUD services,"1,625,512","8,142,434",20.0,TAF Release 1
2020,National,Race and ethnicity,"Black, non-Hispanic",Received MH services,"1,254,103","8,142,434",15.4,TAF Release 1
